end_station_name,end_lat,end_lng
Amsterdam Ave & W 136 St,40.819746,-73.951819
Halsey St & Tompkins Ave,40.6823687,-73.944118
Meserole Ave & Manhattan Ave,40.72708584,-73.95299117
W 76 St & Columbus Ave,40.7801839724239,-73.97728532552719
Broad St & Bridge St,40.70365182,-74.01167797
Grand Army Plaza & Plaza St West,40.6729679,-73.97087984
W 20 St & 10 Ave,40.745686,-74.005141
Flushing Ave & Woodward Ave,40.71246,-73.91873
W 54 St & 9 Ave,40.76584941,-73.98690506
5 Ave & E 63 St,40.766368,-73.971518
Prospect Ave & Longwood Ave,40.81899,-73.90202
Grand St & Havemeyer St,40.71286844,-73.95698119
Division St & Bowery,40.714193,-73.996732
Greenwich St & Hubert St,40.721319,-74.010065
Cleveland Pl & Spring St,40.722103786686034,-73.99724900722504
W 218 St & Broadway,40.87139,-73.914318
E 56 St & 3 Ave,40.75934501,-73.96759673
E 89 St & York Ave,40.7779453,-73.946041
W 87 St & West End Ave,40.789622,-73.97757
E 85 St & 3 Ave,40.77801203,-73.95407149
1 Ave & E 110 St,40.7923272,-73.9383
W 24 St & 7 Ave,40.74487634,-73.99529885
West End Ave & W 107 St,40.8021174,-73.9681805305
5 Ave & E 103 St,40.7922553,-73.95249933
E 55 St & 2 Ave,40.75797322,-73.96603308
11 Ave & W 27 St,40.751396,-74.005226
2 Ave & E 99 St,40.7862586,-73.94552579
Frederick Douglass Blvd & W 115 St,40.8038654,-73.9559308
Berry St & N 8 St,40.7190095,-73.95852515
Motorgate,40.7639089,-73.9477213
Greene Ave & Throop Ave,40.6894932,-73.942061
Roosevelt Island Tramway,40.757284,-73.9536
E 45 St & 3 Ave,40.75255434,-73.97282625
E 138 St & 5 Av,40.81449,-73.936153
Morris Ave & E 153 St,40.820036,-73.921411
Front St & Jay St,40.702461,-73.986842
E 88 St & 1 Ave,40.778301,-73.9488134
Broadway & W 185 St,40.852538,-73.93441
Adam Clayton Powell Blvd & W 118 St,40.804372,-73.951475
3 Ave & E 174 St,40.84224,-73.8985
St. Nicholas Ave & W 126 St,40.8114323,-73.9518776
St. Nicholas Terrace & Convent Ave,40.821294,-73.947868
E 74 St & 1 Ave,40.7689738,-73.95482273
Morris Ave & E 163 St,40.827230499624726,-73.91765579597632
E 84 St & Park Ave,40.77862688,-73.95772073
W 181 St & Riverside Dr,40.85168,-73.94186
Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116
W 190 St & Broadway,40.85648733523576,-73.93296986818314
Willoughby Ave & Hall St,40.69196035,-73.96536851
Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613
E 58 St & Madison Ave,40.76302594280519,-73.97209525108337
1 Ave & E 94 St,40.7817212,-73.94594
E 75 St & 3 Ave,40.77112927,-73.95772297
Lawrence St & Willoughby St,40.69236178,-73.98631746
Courtlandt Ave & E 149 St,40.816402,-73.919549
W 110 St & Amsterdam Ave,40.802692,-73.96295
Lafayette Ave & Classon Ave,40.68900443,-73.96023854
Nassau St & Navy St,40.69839895,-73.98068914
11 Ave & W 41 St,40.76030096,-73.99884222
Bergen Ave & E 152 St,40.817166,-73.914737
8 Ave & W 52 St,40.76370739,-73.9851615
Franklin St & W Broadway,40.71911552,-74.00666661
E 4 St & 2 Ave,40.7262807,-73.98978041
Lexington Ave & E 29 St,40.74311555376486,-73.98215353488922
E 93 St & 2 Ave,40.782454175279874,-73.9489196240902
Columbus Ave & W 95 St,40.7919557,-73.968087
Central Park West & W 68 St,40.7734066,-73.97782542
Lafayette Ave & St James Pl,40.68851534,-73.9647628
W 67 St & Broadway,40.77492513,-73.98266566
Clinton St & Union St,40.6831164,-73.99785267
E 35 St & Madison Ave,40.74848023448579,-73.98255586624146
Park Pl & Church St,40.71334184275907,-74.00935515761375
Greene St & Prince St,40.72511734422387,-73.99930492043495
Broadway & Moylan Pl,40.8143256,-73.9590255
Madison St & Montgomery St,40.713126,-73.984844
Crescent St & 34 Ave,40.76108,-73.930562
Riverside Dr & W 153 St,40.832164,-73.949702
Mercer St & Spring St,40.72362738,-73.99949601
Wales Ave & E 147 St,40.811314,-73.907729
51 St & Hobart St,40.75767234025041,-73.90769943594933
Riverside Dr & W 72 St,40.78057799010334,-73.98562431335449
E 40 St & Park Ave,40.750756,-73.978326
Onderdonk Ave & Gates Ave,40.70413,-73.90737
Nevins St & Schermerhorn St,40.68737247650719,-73.98176059126854
Irving Ave & Harman St,40.70108,-73.9179
Pitt St & Stanton St,40.71926081,-73.98178024
Frederick Douglass Blvd & W 117 St,40.805159,-73.954692
Jerome Ave & E Mosholu Parkway S,40.87935,-73.88534
28 St & 41 Ave,40.751047,-73.93797
Fulton Ave & E 168 St,40.830471,-73.904556
N Moore St & Hudson St,40.71996118117138,-74.00844320654869
30 Ave & 41 St,40.763422,-73.914142
34 Ave & 48 St,40.75388,-73.914952
E 16 St & 5 Ave,40.73726186,-73.99238967
W 21 St & 6 Ave,40.74173969,-73.99415556
W 49 St & 8 Ave,40.76227205,-73.98788205
Ave D & E 8 St,40.72368361,-73.97574813
Congress St & Hicks St,40.6893952,-73.9995126
Spruce St & Gold St,40.710323,-74.004323
W 22 St & 8 Ave,40.74475148,-73.99915362
Cypress Ave & Palmetto St,40.70157340873792,-73.90876293182373
Leonard St & Nassau Ave,40.7239567849954,-73.94984364509583
Ditmars Blvd & 48 St,40.769219,-73.901001
Kosciuszko St & Nostrand Ave,40.69072549,-73.95133465
E 12 St & Ave C,40.727243,-73.976831
Menahan St & Seneca Ave,40.70461,-73.91054
W 51 St & 6 Ave,40.7606597,-73.98042047
St Nicholas Ave & W 134 St,40.816234,-73.948222
Riverside Dr & W 138 St,40.823168,-73.955857
E 118 St & 1 Ave,40.79747,-73.93504
Pioneer St & Van Brunt St,40.679043,-74.011169
Franklin Ave & E 169 St,40.83171,-73.90208
Lafayette Ave & Hunts Point Ave,40.816567,-73.888161
Broadway & W 192 St,40.857994,-73.932173
43 St & Skillman Ave,40.74692675687384,-73.9208248257637
Bushwick Ave & Linden St,40.69146,-73.92146
E 149 St & Eagle Ave,40.814046,-73.91186
Broadway & Battery Pl,40.704633,-74.013617
Adam Clayton Powell Blvd & W 138 St,40.81695971032464,-73.9422959089279
Skillman Ave & 43 Ave,40.74653761978055,-73.93215849995613
21 St & 31 Dr,40.7659,-73.930819
Morgan Ave & Lombardy St,40.72226,-73.93889
Montgomery St & Franklin Ave,40.666439306870814,-73.9605563879013
Henry St & Degraw St,40.6847514,-73.99917254
E 72 St & Park Ave,40.77118287540658,-73.96409422159195
W 111 St & 5 Ave,40.79752078124756,-73.9489397406578
South St & Gouverneur Ln,40.70355377,-74.00670227
Clinton St & Joralemon St,40.69239502,-73.99337909
E 27 St & Park Ave S,40.74275179648995,-73.9847157150507
