start_station_name,start_lat,start_lng
St. Nicholas Ave & W 126 St,40.811388254,-73.951994538
Stuyvesant Ave & Gates Ave,40.688444972,-73.933194518
Broadway & Berry St,40.71036129922581,-73.96530389785767
W 84 St & Columbus Ave,40.78499979,-73.97283406
Pike St & Monroe St,40.71173107,-73.99193043
Plaza St West & Flatbush Ave,40.6750207,-73.97111473
W 31 St & 7 Ave,40.749156,-73.9916
Suydam St & Knickerbocker Ave,40.702013,-73.923769
W 15 St & 10 Ave,40.74275382865903,-74.00747358798981
E 65 St & 2 Ave,40.76471851944339,-73.96222069859505
Grand Concourse & E 166 St,40.832213044,-73.919052601
W 90 St & Amsterdam Ave,40.790080309,-73.972931027
India St & Manhattan Ave,40.73232194,-73.9550858
Amsterdam Ave & W 66 St,40.77444756,-73.984814405
E 39 St & 2 Ave,40.748046875,-73.973861933
Front St & Jay St,40.702461,-73.986842
W 10 St & Washington St,40.73342399437081,-74.00851495563984
Bayard St & Leonard St,40.71915571696044,-73.94885390996933
Goulden Ave & W 197 St,40.87156,-73.89714
E 74 St & 1 Ave,40.768994927,-73.954663277
E 80 St & 2 Ave,40.77391390238118,-73.9543953537941
E 88 St & 1 Ave,40.778301,-73.9488134
E 45 St & 3 Ave,40.75255434,-73.97282625
Adam Clayton Powell Blvd & W 118 St,40.804372,-73.951475
Roosevelt Island Tramway,40.757284,-73.9536
E 138 St & 5 Av,40.81449,-73.936153
Morris Ave & E 153 St,40.820036,-73.921411
Broadway & W 185 St,40.852538,-73.93441
3 Ave & E 174 St,40.842161894,-73.898547053
Dock St & Front St,40.702709,-73.99253
St. Nicholas Terrace & Convent Ave,40.821294,-73.947868
Bergen St & Vanderbilt Ave,40.6794388,-73.9680438
Willoughby Ave & Wyckoff Ave,40.705614,-73.92153
E 41 St & Madison Ave (SW corner),40.752631903,-73.980020165
Southern Blvd & E 149 St,40.811902404,-73.904241085
Douglass St & 3 Ave,40.6802133,-73.98432695
2 Ave & E 29 St,40.74172351097472,-73.97809267044067
W 15 St & 7 Ave,40.739415884,-73.999332666
Rutgers St & Henry St,40.71332151208186,-73.99009689688683
W 116 St & Broadway,40.808383942,-73.964562535
Hanson Pl & Ashland Pl,40.685107231,-73.977637053
21 St & 38 Ave,40.7576314,-73.9391224
Lexington Ave & E 24 St,40.74025878,-73.98409214
Melrose Ave & E 150 St,40.816827,-73.917338
31 St & Northern Blvd,40.75186951421875,-73.93349289894103
West End Ave & W 60 St,40.77237,-73.99005
11 Ave & W 41 St,40.76030096,-73.99884222
Knickerbocker Ave & Halsey St,40.693,-73.90824
Lafayette Ave & Classon Ave,40.68900443,-73.96023854
Willoughby Ave & Myrtle Ave,40.69757,-73.93098
Duffield St & Willoughby St,40.69221589,-73.9842844
Smith St & 3 St,40.6787242,-73.99599099
Clinton St & Cherry St,40.711471394469264,-73.98672603070736
E 10 St & 2 Ave,40.72970805644994,-73.9865979552269
Tinton Ave & E 165 St,40.824796,-73.90242
Mott St & Prince St,40.72317958,-73.99480012
5 Ave & E 29 St,40.7451677,-73.98683077
Amsterdam Ave & W 125 St,40.813358,-73.956461
Allen St & Rivington St,40.72019576,-73.98997825
31 Ave & Steinway St,40.76115787,-73.916991711
62 St & Northern Blvd,40.754176,-73.900318
W 16 St & The High Line,40.74334935,-74.00681753
Broadway & W 38 St,40.7529728216068,-73.98734897375107
W 27 St & 7 Ave,40.746647,-73.993915
Broadway & W 25 St,40.74286877312112,-73.98918628692627
10 Ave & W 14 St,40.74198159994023,-74.00831580162048
LaGuardia Pl & W 3 St,40.72917025,-73.99810231
Clinton St & Grand St,40.715633392,-73.987100244
Brooklyn Bridge Park - Pier 2,40.698458,-73.997178
Bus Slip & State St,40.701907,-74.013942
Wyckoff Av & Stanhope St,40.703531981,-73.918005109
Madison St & Woodward Ave,40.70408,-73.90408
Nassau St & Navy St,40.698399,-73.980689
Waterbury St & Stagg St,40.71019,-73.93734
Ditmars Blvd & 73 St,40.76817,-73.896293
Bedford Ave & Nassau Ave,40.723059773,-73.95223248
E 13 St & 2 Ave,40.73153937464073,-73.9853024482727
48 Ave & 5 St,40.744325638,-73.95579803
